polaridad,texto
0,Manolo: se llama H&M por Hombre y Mujer. Yo: ..pero.es una marca americana no tendría sentido. Manolo: callate butch. Yo:
2,Buen resumen de mi vida amorosa. - Lo he amado por años. - Cásate con él pé. - AJ NO. No estoy para mantener a nadie. Que no joda.
0,Viendo con mi gordiflaqui LOCA POR LAS COMPRAS y el diciendo se parece un poco a ti o tu a ella jjajajajaja yo no compro tanto
2,Yo la que te reza la de mil caricias calmas la que te suspira la de sueños eternos. Sigo siendo yo contigo sin ti tan tuya sin ti
2,Necesito un celular decente y mi chip! oshhh al menos una memoria de 32 otra vez! y el próximo año cuzco otra vez por mis fotos!
2,Y comenzó el día mas amado y esperado ja ja! "Lunes" a comenzar con los dos pies bien puestos en la tierra. Así que adelante!!.
0,@Sol_4843 si lo es! pero a mi no me pegó del todo la sentí bien poltergeist lo cual no quiere decir que sea mala solo que no me "atrapó"
2,.....el que confía el que ayuda el que ama de corazón. Ser feliz con uno mismo no es tan difícil no dejes qie los demás te roben eso
2,Vos enamorate a tu mejor amiga sin que ella lo sepa pero el dia que vos lo sepa o se lo diga como ella lo tomara .... Rzpsta
2,Estoy arta de que todos digan ay si es bien difícil ay si es bien sacrificada ay si tienes que estudiar ay si se van a la mierda?
0,se suave no dejes que el mundo te haga duro no dejes que el dolor te haga odiar no dejes que la amargura robe tu dulzura.. "PERDONA"
2,@hectorandres8 si parezco niño que cuando sale a la calle todo quiere y pues me la paso comiendo (flaco no en vivo se nota mi panza)
2,Y es jvsto en ese preciso instante en el cval le dices a tv papá Qve qvieres ser Dj y al final tome la decicion de mandarte a la mrd
2,People be like "Rojo terruco! Con el terrorismo no se negocia... a menos que se les venda armas si se les vende armas todo bien ".
2,Buenos días!!!! mi pensamiento esta mañana al despertar es que si o si tengo que ir a dar un paseo al parque y disfrutar de la naturaleza
2,Todo sacrificio tiene su recompensa Este mes me toco estar apretada de dinero pero todo sea por mi salud Llegaran tiempos mejores
2,Acabo de ver a una chica con un saco precioso tan bonito que me enamoré. Lo malo es que ese saco a mí no me quedaría como a ella
2,@arremar ke paso????? Xq yano saldran dspues del noticiero 24 horas xqqqqqqqq!!!!!!!!!! Nadie nos da una elicacion
2,No la verdad es que no sé qué haré por el cumpleaños de Yixing. O sea ¿han visto todo lo que hacen las xingmis? Son muy lindas
1,Todo estaba bien con esta idea de salir a correr hasta que me puse el polo que usaba hace 5 meses la última vez que entrené y adiós
2,Vida? Dormir? Que es eso? Terminé a las 4 mis traducciones y ya tengo que ir al estudio por más Y dicen que traducción es fácil JA JA JA
0,Vine en bici a un curso de mi chamba en San Isidro. Genial...!! Solo mi pelo ha sufrido estragos. Pensare en algo para q mañana no suceda
2,@MichelleMarti20 es un amor viste el nuevo ep ¿¿¿ solo he visto el preview del ep de mañana y matan a la amiga de haesoo a pesar
1,!! Yo solía amarlaYo sabía que la echaría de menos !! #GNR   Empezando El Dia Griss
2,Lo "bueno" de viajar o te dejen por hacerlos;es que sacas linea sobre sirealmenteestas "solo" o no.En este casoquedo mas que claro.
2,Yo sólo ame y Di todo d mi..... aunque no soy perfecta solo tengo un corazón sincero una mente que te piensa a cada momento. pitufo
2,uso filtro si y tu no? soy morena tal vez la combinación de un moreno y una blanca que dan una sacalagua esa soy gorda tal vez 53 kilos
2,Sanguchitos cafecito calientito y maraton de peliculitas de #Saw... Yo tambien me llamo Perú. Asi o mas tranqui??? Dulce o Truco???
2,@joseedays aww!! Gracias!!!! Muaaaaaaaaaak!!!! No me gusta el sol y estoy en plena auditoría pero la estoy pasando genial … Muak!
1,Y hoy que salir de la cama era lo último que quería hacer nos fuimos de paseo a La Punta valió la pena no quedarse en casa!
1,Me he guardado desde el jueves para salir hoy... y mi mejor amiga me dice: me vino la regla no la hago. La odio por perra!
0,Necesito un te canela en serio no se si llorar o estar alegre o no se que me siento desubicado
2,Mario si me dio pena con esta frase: "Se que hoy en dia es muy dificil q una chica se acerque a mi" jajajaja SOLTERA REMIX EN AL AIRE
0,@AnimeMariana jajaa Pos yo igual queria verte cantar!!! :'''v Hubiera estado lindo. Pero pos creo que lo de 50 cosas seria algo genial
1,Ouch!! ese momento incomodo cuando te preguntan que le viste? ó no se porque estuviste con el? .... El aspecto no lo es todo
2,Contigo porque me matas y ahora sin ti ya no vivo -->Tal cual! Te mereces todo lo que has conseguido y conseguirás @AbrahamMateoMus
0,@aurpcy YX no él es tema aparte. Sólo me shippeo con jongdae je Y están próximos creí eran del mismo signo iba a shippearlos + hard
2,Cada dia se acerca mas la navidad agamos que todos los niños tengan un motivo x cual sonreir invitalo a tu casa buenos dias!!!!
2,@Kano_8_ Lo mejor para el es que salga del Club Zidane no le da la Oportunidad de Jugar! A mi no me gusta que este en la Banca.
2,Soy la unica que quiere un poco mas a Assereto que a Pesaressi? Ojo no digo que no quiera a GP pero GA a él lo quiero un poco mas.
2,Trato de manejar esa sensación de: "no me soporto a mi misma" de estos ultimos 2 días ¡qué dolor! Es que no soy yo misma. #malditoandres
2,Chiste: Había un elefante que se llamaba maíz vino un pollito y se lo comió. ja! Lo sé el chiste no es bueno pero igual te hice reír
2,¿Quién va a querer a un tipo que llega a su casa a las 12 de la noche a su casa 5 veces por semana? ¿Y que no tiene findes ni feriados?
0,A quien no le ha pasado que se pone depre porque extraña a su madre o su padre. Vivi solo 18 años a su lado siento que deseo más tiempo
0,Kekito ya sabe decir "mono" "vaca" "oso" y yo aún no termino de hacer el marco teórico de mi tesis. Ah y #SeVieneElQuino
0,Hoy estoy muy feliz! Podre subir videos de nuevo mi grabador ya no me da error Volvere con todo y con un super evento por los 1000
1,cada vez que cito un tweet se va la ubicación sin tampoco poder ponerla en el momento a uds les pasa? TE VEO Y ME PICA VICICONTE
2,Ya me olvidé cuál era el canal de youtube donde se podía ver cbt ayer pero espero que lo pasen otra vez TE VEO Y ME PICA VICICONTE
2,@magnobolivar 1) wordpress es más pro. 2) Yo tengo un blog pero mis lectoras son más de estilo upsocl y buzzfeed eso aún se lee
2,Ahorita estaria en Cañete luego ica huacho Arequipa cuzco etc. Tmr es cierto cuando dicen "si el tren pasas tienes que cogerlo"
0,l'amour no estará de mi lado y ya hace buen tiempo pero me llena de calorcito lindo de felicidad ver a mis amigas felices amando.
1,Hace 1 año recibí la peor noticia de mi vida que mi sobrina mi hija ya no iba a estar mas en este mundo y que pasaría a ser mi Angelita
0,@adricordva pero y que pasa con "todo lo puedo en cristo que me fortalece" "solo Dios le da batallas a los fuertes" nada de eso? jajajaja
0,Estoy a punto de comprarme EL VESTIDO para Año Nuevo lo malo es que si lo compro los días que faltan me mataré haciendo cardio y abs
2,Super Junior es un escape a todas las cosas malas que pasan en mi vida es por eso que al apoyarlos no lo veo como una obligación
1,Putamare!!.. El tío gritó el gol en mi oído estando en el metropolitano!!.. Y lo peor es que yo asustado grité como jerma!!.. Quemadazo!
0,@esquinabaja si pues lo publica en su muro sin tu tag e igual todos tus conocidos verán esa foto. jaja ya fue! o tierra tragame!
2,la rompas en el primer año de sozu psdta: y si acabas de mandarnos indirectas por twitter y hablamos por wsp y fb no tengo problemas....
2,—¿A dónde vas tan maquillada? —A una fiesta mamá. —¿Eres el payaso? —¡MAMÁAAA! —JAJAJÁ cállate y hazme reír o no vas. —Ok.
2,@guillevaldes como siempre impecable Guille
1,Me he puesto a llorar en plena oficina porque no podía abrir mi bolsa de m&m's y no quería pedir ayuda para no tener que invitar
2,_ Dibujas muy bonito pequeño saltamontes. _ Sí. *se pone a saltar* _ _ Cuando sea grande voy a ir a las artes. _ A Bellas Artes. _ Sí.
2,@CarlosCook eso es muy peruano
2,Estoy sin palabras mi corazón esta triste recién hace unas horas me entere que Chalena Vásquez partió de este mundo no me lo creo aún.
0,@roxy_peru @AlejandroSanz @Ritmo_Romantica que buena noticia Roxi
1,Mañana voy al estadio me dice un amigo y ganamos claro le digo aunque Brasil es difícil no me dice yo gano cuidando carros veste...
2,lo que mas me rompe el corazón es cuando el 76 saca su campo biótico para curar a todo el mundo y luego reaper llega cuando ya se acabó
0,Yeihhh de nuevo aqui #AlianzaFrancesa
1,estar en tumblr/ we heart it el internet en general es tan frustrante porque veo arte tan hermoso y siento q lo que yo hago es tan
0,Fue un bonito fin de semana cumpleañero : amigos familia torta comida rica juegos de mesa y muchas risas. Me siento bendecido y feliz
1,@FioBarletti si pues eso q lees en mi perfil son mis rayos X y claro tu debes ser todo lo contrario me amo y adoro asi
2,@felibesset @GilmoreGirls esperamos los nuevos capítulos
2,Aveces cuando leo sus tuits y no entiendo algo me dan ganas de preguntarles para entender mejor. Pero soy tímido y me quedo con la duda
2,No me sorprende que 2ne1 se haya separado man. Pero aún así me dio en el cora bc es un grupo legendario y empecé mi era kpop con ellas
0,@jtorrespadilla fui una buena novia
1,Buen día.... Para delante una nueva semana con fe...!!!! Con fe ... Cuanto tiempo me aguantas con mi forma de ser...
2,Ya ni voy a hacer bromas weon porque si yo hubiese leído eso durante la salida de Zayn me hubiese empezado llorado y todo que triste
2,Nos falta tanto a los peruanos se nota que nunca tuvimos una gran emergencia que ni evacuar sabemos eso tarde o temprano pasa factura
0,Yo sería vegana pero luego pienso en el tremendo pan con chicharrón y camote que me metí el otro día y no...soy débil no puedo
2,@DerLanPan soy buen hombre hincha de SC tengo 2 entradas a Norte no soy revendedor ....... lo malo es que no las estoy vendiendo
2,@LuciaLu26 JAJAJA crjo no lo dije por ti mi primer saliente fue a esa edad y mi mamá nunca lo aceptó por esto que recién entendemos
2,Si es que llego a tener hijos no les pondré nombres difíciles de escribir ni de pronunciar para que no los molesten como a mí jaja
2,@ElohaLing Ayyy no debí haber tuiteado esto. Olvidé que estabas por acá no me odies ( Hablo en serio no es sarcasmo )
2,En 1990 una amiga quiso ser policía. Sus padres se opusieron xq las mujeres no podían ser oficiales. Luego de 26 años tenemos GENERALAS.
2,@The_SoulOfLion Hoy no esta juaneco creo
2,Bajar mucho de peso y no sentirse contenta. Será porque no fue a base de ejercicios. Un mes y quedé
2,@lovingmykookie extrañare este tweet como fijado
2,@danielperedo17 39 goles en 2016 y va al fútbol peruano? Será su video? No vaya hacer que sea igual que de cuto Guadalupe y Esidio jeje
0,En comentarios: - Que linda. - Graciaaas. ¡¡Te extraño!! Tenemos que vernos de todas. Por FBC - ¡Hola! - *Visto a las...*
1,@JayroCerasuolo oh no te la debo negrito lo lamento prometo ir al próximo kaos ir desde las 8 pm y guardarte cola
2,Hoy es Domingo hoy es domingo hoy hoy es domingo domingo es si es domingo ya para no olvidarse buen día
2,Después de siete largos años vuelvo a pasar navidad junto con mi mamá mi papá y mi hermana. Todos juntos con una yapita de sobrino.
2,pásala bien con todos tus seres que el amor y la paz llene tu hogar con tus seres queridos y muchos éxitos en todo ¡!!!
2,@InvictosSomos fuera del típico saludo navideño tengo una duda: pasan Navidad juntos o cada uno con su familia? Saludos desde Lima
2,El quinto día #cousins #Holidays @ Previos Restobar-Pub
2,@LightAfterRain_ Ya sé pásame tu número por interno y yo te paso todo por wpp de paso que tú también me ayudas con NCT y así
2,Estoy en esa delgada línea entre jugar un duelo de cartas Yu gi oh en playstation o planchar mi ropa de mañana
2,Está dicho!..mi vida es una gran aventura lleno de emociones decepciones ilusiones sonrisas
2,@Libranorte te entiendo toda mi vida me he sentido igual; pero siempre hay que ser fiel a uno mismo
2,@Madrebeagle no todo es perfecto
2,Todo el dia esperando llegar a casa y comer helado casero pata encontrarme sin luz y el helado hecho agua putamadreeeeeee
0,Te amo demasiado!!! Por tu sensualidad  inocencia y belleza...porque pareces tonta pero sé que no lo eres y xq eres joven @ArianaGrande
1,Desayuno Yo: wenas me da una quinua porfa -Claro desea pan? Yo: Si uno de cada uno porfa (huevopaltajamonadaetc). #NosFuimos
2,Un poquito de personalidad por favor jajajaja que ahora pongo algo y ya es por mi amada llena de ego
0,A: Ven aquí... Hey estás fumando! B: Pero todos están fumando A: Sí pero a quien voy a besar a ellos o a ti? #MeCago #MeEnamore
2,@elmejorerico @silva_alvan @meiermq si los Ramirez dicen q son honradosbecerril q es buen padreChacón q sí tiene educ.X q no me crees ?
2,@jakahatt algún dia se mejorarán las leyes en la parte digital para que se pueda denunciar a quienes aprovechan estos medios para difamar
2,Cumplí mi caprichito buena compañía #ceviche #chela #pilsen
2,La tierra del olvido es una bonita canción pero cuando la pienso Iquitos sería la tierra olvidada porque seguimos tantos años hasta las
0,Camisetas por comprar la 10 de Tevez con Boca y la nueva de Tomas Rincón con la Juve
2,@RicardoMoran @larepublica_pe me hace muy feliz
1,@Lucialacruel en mi casa tampoco JAJAJAJAJA
2,Hoy toca cocina ¿Qué es mas rico chicharrón o ceviche de pota ??? @ Muelle Fesa ex…
2,Totoro casi listo #Imelda #torta #totoro #cake #designcake #pastelería #lima #diseño…
2,@Fantastiqvs Que pases unas lindas fiestas de fin de año y que el próximo sea mucho mejor para ti y los robots ¡Éxitos en todo Aldo!
2,Aprovecharé que no hay nadie en mi casa para subir el volumen lo más alto gritar a pulmón y bailar
2,Al parecer tu casita no es tan "ita"...iSe ve divina chinita @KarenSchwarz! Que felicidad por uds. - seguro Dormy tb está re feliz
1,@AndresWieseR cuerito!! Que lo hayas pasado súper grandioso!!! Felices 33 debemos cuidarte más este año!! Edad de cristo!!
2,@chikidelf me fascinas  me provocas  me arrechas !!!! Quiero conocerte y cogerte como nunca e cogido a nadie
1,Te das cuenta que ya te va a venir la regla porque te estás empezando a poner bipolar y los antojos por comer dulces aumentaron
2,Lindo día con sol. #Chimbote #FelizLunes
1,Mar Negro q se haya caído un avión lleno de músicos médicos q enviaron para alegrar a la gente en Siria me deja +segura q no existe dios
0,Sin duda esta fue una noche buena maravillosa. Compañía comida y bebida perfectas. Amo a mi familia.
1,Ojalá que al chico de lado que acaba de salir de una entrevista lo llamen sería un buen regalo de Navidad
2,Por que existe gente bruta !!! Que cuando ven con zapatillas nuevas te las pisan !! Que les pasa? Son dementes ? Peor cuando son blancas
0,@MuniMiraflores @Munozestuvoz hola ayer separe una cancha de tenis para hoy a las 10 y al llegar estaba ocupada la alquilaron 3 veces
2,#puraresponde feliz navidad pura pasalo super
2,@DianaSanchez_04 igual Diana desearte una feliz navidad espero la pasé muy bien con la familia Dios te dé muchas bendiciones te amamos
2,No hay mayores problemas dice vocero Lewin Mejía sobre amago de incendio... es un centro comercial no una bodega @hudwalker @canalN_
0,Feliz navidad y un increíble 2017 para toda la familia del voleibol peruano en especial a mis queridos colegas de @ZonaAtaqueCMD
2,@JessicaaaFranco yeah! yo lo intente but se veia todo oscuro luego me dasanimé je...pero estaría bien que todo el fandom lo haga
2,Uy el trío del masajeo prostatico mutuo se está muy calladito seguro que estarán botando todo lo relacionado con el jueguico ese.
2,Yo pensaba que el descanso también iba a ser para el fandom PERO NO! nosotras nunca descansamos Re100 robado #VideoMTV2016 Niall Horan
2,Llamar a tu casa apurada  y que se despidan de tí  diciendo .. te quiero mucho  gordita ... Eso soluciona todo! Todo
1,@PJimr yo ya pasé todos los gratuitos también. es una maravilla. no he pagado nada. la desconexión forzosa de fin de año creo lo evitará
1,#HolaATodos @rafaelcardozotv Necio!!!!!! Abre tu cerebro porfavor!!! No es la palabra es el contexto
0,En pocos minutos empieza Combate!! Usa el HT #CbtHastaSiempre y coméntanos que fue lo que más te gusto de tu programa favorito...
2,@Slayer_X @hdanniel hoy juega el Liverpool con el City (y también son las semifinales del futbol americano universitario)
2,Bueno ¡a finalizar el último libro que tengo en mi “currently-reading” de @goodreads antes que termine el año!
2,@rusosnith que ricoooo me abriste el apetito!! Solo una cosa. Las aceitunas tienen que ser las negras
1,Me calmo un poco y me voy a comprar por mi cuenta Aunque no tengo ni puta idea a dónde ir ellos se fueron a donde están las ofertas
2,Buenogracias a algunos(casi gratis) por confiar su salud en mi(un año más) no se enfermen mucho este año pues jaja mentira saludos
1,A veces me gustaría que a novia le gustara Disney tanto como a mi. Salen nuevas pelis o avances y necesito fangirlear
2,Mejor me regreso a lee el manga me cuesta mantenerme optimista justo ahora y tengo ganas de hacer drama. #YAsíaNadieLeAgrado
2,@JEESrcismo por eso mismo. Yo no veo la diferencia en una supuesta "vida sana" impulsada por el veganismo y el resto
2,5 días seguidos en el cine un día de descanso para ver a mis perritas y luego otro día más de cine
2,Lo bueno que ahora a mi lado tengo a personas que quiero y sobretodo que me quieren .. la mejor decisión que pude tomar .
1,Papá: estás saliendo con alguien? Yo: sí Papá: tendré nuevo hijo? Yo: lo más probable es que si Papá: eres una Butch una prosti JAJA
2,#2añosdelegiónholk Un año antes no me imagine  que un grupo(El mejor) sea mas importante que muchas cosas en mi vida
2,Quiero ver todos los caps de la nueva temporada de Sherlock right now pero luego sufriré esperando 3 años más para la próxima temporada
2,Empezamos con un par de problemillas nooooo pero este año hay que ser más +++
2,@umbral2005 si pero la verdad que función de chistes del que chancó a mi familiar no creo que haga mucha gracia.
0,Con entusiasmo y optimismo en este primer día del año. Todo depende de lo que Dios me tiene preparado. #VamosConFe
2,@andrewmartin711 sin duda es lo mejor
1,Como van tus vacaciones camilita?  es cierto que estas en cancun ? Porque no subes mas snapchats? te extraño @camilacabello97
2,Tengo hambre de algo salado
2,Regresé de la playa hoy y literal todo el día he dormido y aún sigo con sueño
2,la mayoria de amigos han viajado a cancún... pasajes baratos o que onda? o yo soy misio y estoy en Lima
2,Al César: @peru21 fue el primero en nuestro país que sacó a la chica en bikini de sus páginas. Ahora sacó el horóscopo. Felicitaciones.
1,#2AñosDeLegiónHolk Llevo como unos 8 meses Talvez menos o mas no sé Me enseñaron y demostraron que LH es algo magico
1,#2AñosDeLegiónHolk No importa que seas "niu" o "old" Si amas a LH  eres bienvenido a mi casa
1,Me preguntó mi nombre!!! Mi último día e interactúo con Samuel! Vaya suerte la mía
0,MAPEO DE PROCESOS!!!! PMBOK ya falta poco... Pronto a vente
2,@JordiWild Primero los XV de Ruby ahora Tongo jaja Giorgio de a pocos vas conociendo Latinoamerica ... aunque no la mejor cara
2,@mariellymc noooooooooo y me cuelgo de la imagen para decir lo mismo " que tan miserable debo ser? "
