polaridad,texto
0,Manolo: se llama H&M por Hombre y Mujer. Yo: ..pero.es una marca americana no tendría sentido. Manolo: callate butch. Yo:
0,Viendo con mi gordiflaqui LOCA POR LAS COMPRAS y el diciendo se parece un poco a ti o tu a ella jjajajajaja yo no compro tanto
0,@Sol_4843 si lo es! pero a mi no me pegó del todo la sentí bien poltergeist lo cual no quiere decir que sea mala solo que no me "atrapó"
0,se suave no dejes que el mundo te haga duro no dejes que el dolor te haga odiar no dejes que la amargura robe tu dulzura.. "PERDONA"
0,Vine en bici a un curso de mi chamba en San Isidro. Genial...!! Solo mi pelo ha sufrido estragos. Pensare en algo para q mañana no suceda
0,Necesito un te canela en serio no se si llorar o estar alegre o no se que me siento desubicado
0,@AnimeMariana jajaa Pos yo igual queria verte cantar!!! :'''v Hubiera estado lindo. Pero pos creo que lo de 50 cosas seria algo genial
0,@aurpcy YX no él es tema aparte. Sólo me shippeo con jongdae je Y están próximos creí eran del mismo signo iba a shippearlos + hard
0,A quien no le ha pasado que se pone depre porque extraña a su madre o su padre. Vivi solo 18 años a su lado siento que deseo más tiempo
0,Kekito ya sabe decir "mono" "vaca" "oso" y yo aún no termino de hacer el marco teórico de mi tesis. Ah y #SeVieneElQuino
0,Hoy estoy muy feliz! Podre subir videos de nuevo mi grabador ya no me da error Volvere con todo y con un super evento por los 1000
0,l'amour no estará de mi lado y ya hace buen tiempo pero me llena de calorcito lindo de felicidad ver a mis amigas felices amando.
0,@adricordva pero y que pasa con "todo lo puedo en cristo que me fortalece" "solo Dios le da batallas a los fuertes" nada de eso? jajajaja
0,Estoy a punto de comprarme EL VESTIDO para Año Nuevo lo malo es que si lo compro los días que faltan me mataré haciendo cardio y abs
0,@esquinabaja si pues lo publica en su muro sin tu tag e igual todos tus conocidos verán esa foto. jaja ya fue! o tierra tragame!
0,@roxy_peru @AlejandroSanz @Ritmo_Romantica que buena noticia Roxi
0,Yeihhh de nuevo aqui #AlianzaFrancesa
0,Fue un bonito fin de semana cumpleañero : amigos familia torta comida rica juegos de mesa y muchas risas. Me siento bendecido y feliz
0,@jtorrespadilla fui una buena novia
0,Yo sería vegana pero luego pienso en el tremendo pan con chicharrón y camote que me metí el otro día y no...soy débil no puedo
0,En comentarios: - Que linda. - Graciaaas. ¡¡Te extraño!! Tenemos que vernos de todas. Por FBC - ¡Hola! - *Visto a las...*
