1,propongo sueo venda mate amarillo compro dia primavera banquemos arreglo auto carolina venezolana quedo trabajo protege mafia taxi

0,dia historico favor engaen ma dia gratis mira mira mejorentaxi taxiespaa gobierno vtc deleteuber consumo cabify defiendeespana estafacabifyuber licenciaurbanasi taxienlucha 1vtc30taxis felizjueves

0,critican presidente buscar hija auto ahi helicoptero acto oficial entrevistan pikietto expropio ciccone esconder boudou cfk usaba aviones llevar coima calafate completos

0,vergonzosa forma repitio historia contada cronica escrita redaccion cada medio realmente habia solo elemento constatado fatal

1,parece actores habia hoy manifestacion patronal vtcs pro cabify dado tiempo estudiar papel carteles hechos departamento marketing quedado chulos taxienlucha licenciaurbanasi

1,risa novio cuenta cuenta funciona siempre hago viajes bien checad

1,quinto

1,seora veronica cantando carretera perdida buitres siento auto tia

1,descuento eats codigo eats hhrdc4tfue

1,cabify necesitan ofertar servicios gratis disimular nefasta conduccion conductores nulo conocimiento calles enelfuturocabemostodos solo verdaderos profesionales quedaremos vivaeltaxi

1,pablo antillano gran tipo historia grande periodismo sueos venezuela siempre necesario ayudarlo hoy sumo

1,fascistada infecta interesa

1,escucha lukys93 cantando ahora que patito feo cover breaking

1,colombia mujer amante pidieron hotel chofer esposo

0,ayyy lindo quiero

0,imaginad toda tecnologia punta aplicada vehiculo autonomo conductor

0,siempre critican digo hicieron demasiado chongo dia van violar ahi va pen

1,hermano pablo enfermo batalla cancer costos tratamientos sobrepasan pido ayuda puedan hacerlo mil gracias

1,pensar chofer nia literal anda 80tera rolas inspiradoras

1,enelfururocabemostodos haciadondenosmovemos poderelegir cabify persona ma selecto salido exhaustivas pruebas licenciaurbanaya

0,caza fenomeno sindicalismo argentino

0,cada vez tomo paso cap pantalla datos chabon mama novio jaja nunca sa

0,veces

0,nuevo ataque quemacoches auto acusaron literalmente dejado calle medio laburo unico ingreso

1,manera ma facil rapida sentirte millonario chofer personal aqui voy asiento atras usando celular suave rato bajo toca manejar meterme trafico comer mierda

0,enelfuturocabemostodos taxienlucha nomasprecariedad importantes anuncios portavoz conductores vtc cabify rogamos paciencia video extenso detallista conceptos

1,200 000 peso puedes comprar aveo contado

1,llego propio uber decidia podium liberar nueva version ahora

0,pedo ahora darles pinch propinas

0,manda llegue tenes idea carajo toyota corolla

1,derecho trabajo obvio nadie niega hablamos de

1,empresa responsable aplicacion mostro interes cumplir requisitos legales tributarios

1,impiden mujer viaje perro guia chofer no gana via lucero marquez

1,chevrolet beat activ moderno divertido atractivo solo diseo exterior interior igual increible

1,tremenda sorpresa mujer amante piden buscar marido

1,tierno banderita colapso castellana acompaando 000 peseta ma solo grito solito aunque juntes sencillamente puedes vete jugar play taxienlucha enelfuturocabemostodos

0,viene tan lejos bebido agua colmo lleva bebe mira mira mejorentaxi taxiespaa gobierno vtc deleteuber consumo cabify defiendeespana estafacabifyuber licenciaurbanasi taxienlucha 1vtc30taxis felizmiercoles

1,voy dar consejo dejelos griten piten usted suba vidrios ponga musica cante feliz conductor dijo trafico creo aplica vida

1,derecho trabajo obvio na

1,tendencias iba motel amante conductor recogio esposo

0,pagara multa record 148 millones dolares filtracion datos

0,veces cabify

0,pedi seora limpia casa cuida hija vuelva casa vino conductora venezolana transaccion ma anti paro anti anti patriarcado anti chavista hice vida

1,movias

1,empresas cabify llevan toda riqueza mediante practicas elusion fiscal mientras precarizan trabajo uberizacion economia empobrece destruye derechos laborales trabajadores trabajadoras enelfuturonocabenbuitres

1,tambien taxi sitio dado tipo servicio siempre

1,tratara medios instale cordoba via

1,derecho trabajo

1,llego propio uber decidia podium liberar nueva version ahora algoritmo hace mejor en superior admite miedo algoritmos dan entrevistas todavia

0,hoy alguien subio cobraron viaje gente gandalla

1,sorpresa amor compadre

1,345 servidores baratos caen conductores baratos saben circular orientarse preocuparse tambien baratos cobrar servicios realizados cabify estafacabifyuber quejasvtc

0,van lograr simpatice bolu trabajaban bien epoca yegua puteaban dia ahora bancan malaria salen quemarle auto pobres tipos ma cagados hambre

1,derecho trabajo obvio nadie niega que

0,comanchera chismosa victoria amarga cabify

1,intencion demanda civil cabify plataformas tomen serio integridad usuarios cambien fondo mecanismos seguridad sealan abogados padre mara

1,neta meto app dia neta adiccion puedo dejar pedir ubers

0,influencers ustedes influencer papa conoce resulta chofer reconocio

0,felicidades mayoria conductores cabify dejado engaar farsa montada salvar chiringuito cuatro especuladores esperamos 2000 vtcs licenciaurbanasi taxienlucha

1,saliendo gym tomo wey reconoce twitter pide verga lanzamos motel darle duro rico  

0,derecho tra

0,pasa casi lados preguntan casada lista vestir santos

1,mujer pidio motel amante conductor esposo

0,alguien quiere ayudar carolina joven venezolana mafia taxi prendio fuego auto de

0,vendidos traidores firmais paripes promoveis manifestaciones esclavistas especuladores enelfuturonocabenbuitres taxienlucha

1,delicias cargadito delicias bares alma entraas

0,mafia volvio atacar choferes cabify

1,perfecto lados jueputa

0,pregunto casada olovorgooooo

1,duro

0,agradeceria siguiera

1,agendamundial espaa cabify protestan ley favor tradicional cdn

1,comparto ultimo video creado hermano conjunto en

1,cabron deseaba darse sentones verga verga dura queria ser ma culos demo duro see this and more

0,sabes tarifa dinamica ahora llegan tirando precios de tarjeta credito cuanto pase tiempo tendran ayuntamiento junta subir tarifas hacen minuto hojas reclamaciones

0,pedi idiota dando vueltas pendejo cancelara asi final hice

1,maria preguntamos duros pretende pre

1,amo nio dios

